profile_id	lapse_name	lapse_a	shape_id	amplitude	q_of_s	max_abs_q	center_h_order_in_x	center_B_order_in_x	endpoint_q	behavior_class	center_status	signature_status	lapse_min	reflection_partner	physical_status
G75_AM_S23_E05	AM	-1/4	S23	1/20	s**2/30 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S23_E05	A0	0	S23	1/20	s**2/30 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S23_E05	AP	1/4	S23	1/20	s**2/30 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S23_E20	AM	-1/4	S23	1/5	2*s**2/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S23_E20	A0	0	S23	1/5	2*s**2/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S23_E20	AP	1/4	S23	1/5	2*s**2/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S23_E50	AM	-1/4	S23	1/2	s**2/3 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S23_E50	A0	0	S23	1/2	s**2/3 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S23_E50	AP	1/4	S23	1/2	s**2/3 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S23_E100	AM	-1/4	S23	1	2*s**2/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S23_E100	A0	0	S23	1	2*s**2/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S23_E100	AP	1/4	S23	1	2*s**2/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S24_E05	AM	-1/4	S24	1/20	-4*s**2/45 + 2*s/45 + 2/45	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S24_E05	A0	0	S24	1/20	-4*s**2/45 + 2*s/45 + 2/45	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S24_E05	AP	1/4	S24	1/20	-4*s**2/45 + 2*s/45 + 2/45	1/20	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S24_E20	AM	-1/4	S24	1/5	-16*s**2/45 + 8*s/45 + 8/45	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S24_E20	A0	0	S24	1/5	-16*s**2/45 + 8*s/45 + 8/45	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S24_E20	AP	1/4	S24	1/5	-16*s**2/45 + 8*s/45 + 8/45	1/5	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S24_E50	AM	-1/4	S24	1/2	-8*s**2/9 + 4*s/9 + 4/9	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S24_E50	A0	0	S24	1/2	-8*s**2/9 + 4*s/9 + 4/9	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S24_E50	AP	1/4	S24	1/2	-8*s**2/9 + 4*s/9 + 4/9	1/2	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S24_E100	AM	-1/4	S24	1	-16*s**2/9 + 8*s/9 + 8/9	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S24_E100	A0	0	S24	1	-16*s**2/9 + 8*s/9 + 8/9	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S24_E100	AP	1/4	S24	1	-16*s**2/9 + 8*s/9 + 8/9	1	2	2	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S25_E05	AM	-1/4	S25	1/20	-s**2/25 + s/25 + 1/25	1/20	2	2	1/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S25_E05	A0	0	S25	1/20	-s**2/25 + s/25 + 1/25	1/20	2	2	1/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S25_E05	AP	1/4	S25	1/20	-s**2/25 + s/25 + 1/25	1/20	2	2	1/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S25_E20	AM	-1/4	S25	1/5	-4*s**2/25 + 4*s/25 + 4/25	1/5	2	2	4/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S25_E20	A0	0	S25	1/5	-4*s**2/25 + 4*s/25 + 4/25	1/5	2	2	4/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S25_E20	AP	1/4	S25	1/5	-4*s**2/25 + 4*s/25 + 4/25	1/5	2	2	4/25	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S25_E50	AM	-1/4	S25	1/2	-2*s**2/5 + 2*s/5 + 2/5	1/2	2	2	2/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S25_E50	A0	0	S25	1/2	-2*s**2/5 + 2*s/5 + 2/5	1/2	2	2	2/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S25_E50	AP	1/4	S25	1/2	-2*s**2/5 + 2*s/5 + 2/5	1/2	2	2	2/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S25_E100	AM	-1/4	S25	1	-4*s**2/5 + 4*s/5 + 4/5	1	2	2	4/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S25_E100	A0	0	S25	1	-4*s**2/5 + 4*s/5 + 4/5	1	2	2	4/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S25_E100	AP	1/4	S25	1	-4*s**2/5 + 4*s/5 + 4/5	1	2	2	4/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S26_E05	AM	-1/4	S26	1/20	s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S26_E05	A0	0	S26	1/20	s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S26_E05	AP	1/4	S26	1/20	s/40 + 1/40	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S26_E20	AM	-1/4	S26	1/5	s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S26_E20	A0	0	S26	1/5	s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S26_E20	AP	1/4	S26	1/5	s/10 + 1/10	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S26_E50	AM	-1/4	S26	1/2	s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S26_E50	A0	0	S26	1/2	s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S26_E50	AP	1/4	S26	1/2	s/4 + 1/4	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S26_E100	AM	-1/4	S26	1	s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S26_E100	A0	0	S26	1	s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S26_E100	AP	1/4	S26	1	s/2 + 1/2	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S27_E05	AM	-1/4	S27	1/20	s**2/60 + s/60 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S27_E05	A0	0	S27	1/20	s**2/60 + s/60 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S27_E05	AP	1/4	S27	1/20	s**2/60 + s/60 + 1/60	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S27_E20	AM	-1/4	S27	1/5	s**2/15 + s/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S27_E20	A0	0	S27	1/5	s**2/15 + s/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S27_E20	AP	1/4	S27	1/5	s**2/15 + s/15 + 1/15	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S27_E50	AM	-1/4	S27	1/2	s**2/6 + s/6 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S27_E50	A0	0	S27	1/2	s**2/6 + s/6 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S27_E50	AP	1/4	S27	1/2	s**2/6 + s/6 + 1/6	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S27_E100	AM	-1/4	S27	1	s**2/3 + s/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S27_E100	A0	0	S27	1	s**2/3 + s/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S27_E100	AP	1/4	S27	1	s**2/3 + s/3 + 1/3	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S28_E05	AM	-1/4	S28	1/20	s**2/40 + s/80 + 1/80	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S28_E05	A0	0	S28	1/20	s**2/40 + s/80 + 1/80	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S28_E05	AP	1/4	S28	1/20	s**2/40 + s/80 + 1/80	1/20	2	2	1/20	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S28_E20	AM	-1/4	S28	1/5	s**2/10 + s/20 + 1/20	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S28_E20	A0	0	S28	1/5	s**2/10 + s/20 + 1/20	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S28_E20	AP	1/4	S28	1/5	s**2/10 + s/20 + 1/20	1/5	2	2	1/5	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S28_E50	AM	-1/4	S28	1/2	s**2/4 + s/8 + 1/8	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S28_E50	A0	0	S28	1/2	s**2/4 + s/8 + 1/8	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S28_E50	AP	1/4	S28	1/2	s**2/4 + s/8 + 1/8	1/2	2	2	1/2	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S28_E100	AM	-1/4	S28	1	s**2/2 + s/4 + 1/4	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S28_E100	A0	0	S28	1	s**2/2 + s/4 + 1/4	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S28_E100	AP	1/4	S28	1	s**2/2 + s/4 + 1/4	1	2	2	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S29_E05	AM	-1/4	S29	1/20	-s**2/15 + s/15 + 1/30	1/20	2	2	1/30	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S29_E05	A0	0	S29	1/20	-s**2/15 + s/15 + 1/30	1/20	2	2	1/30	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S29_E05	AP	1/4	S29	1/20	-s**2/15 + s/15 + 1/30	1/20	2	2	1/30	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S29_E20	AM	-1/4	S29	1/5	-4*s**2/15 + 4*s/15 + 2/15	1/5	2	2	2/15	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S29_E20	A0	0	S29	1/5	-4*s**2/15 + 4*s/15 + 2/15	1/5	2	2	2/15	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S29_E20	AP	1/4	S29	1/5	-4*s**2/15 + 4*s/15 + 2/15	1/5	2	2	2/15	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S29_E50	AM	-1/4	S29	1/2	-2*s**2/3 + 2*s/3 + 1/3	1/2	2	2	1/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S29_E50	A0	0	S29	1/2	-2*s**2/3 + 2*s/3 + 1/3	1/2	2	2	1/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S29_E50	AP	1/4	S29	1/2	-2*s**2/3 + 2*s/3 + 1/3	1/2	2	2	1/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S29_E100	AM	-1/4	S29	1	-4*s**2/3 + 4*s/3 + 2/3	1	2	2	2/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S29_E100	A0	0	S29	1	-4*s**2/3 + 4*s/3 + 2/3	1	2	2	2/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S29_E100	AP	1/4	S29	1	-4*s**2/3 + 4*s/3 + 2/3	1	2	2	2/3	PERSISTENT_SIGN_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
